Ciudad,Estado_Geo,Anio,Mes,Lat,Lon
Mazatlán,Sinaloa,2025,8,23.685775581273464,-102.70553424045808
Tala,Jalisco,2025,11,21.099730241424957,-102.90094669303785
Monclova,Coahuila De Zaragoza,2025,12,23.67547417787588,-102.23639420584024
Juchitepec,México,2025,9,19.243469926206522,-100.01558682423354
Poza Rica De Hidalgo,Veracruz,2025,10,23.743288218442355,-102.13153202410209
Metepec,Hidalgo,2025,10,23.558252890491516,-102.51256880175049
Puerto Vallarta,Jalisco,2025,8,20.705116789315937,-102.95484777310591
Tonalá,Jalisco,2025,11,21.100964808776528,-103.04954474405268
Apodaca,Nuevo León,2025,11,25.478302637800773,-100.07098649553078
Ixtlahuaca,México,2025,9,19.816490563823915,-100.13323069167988
Tuxtla Gutiérrez,Chiapas,2025,9,24.005350641956063,-102.73132264061505
Solidaridad,Quintana Roo,2025,10,23.295791134789297,-102.45836578533914
Tlajomulco De Zúñiga,Jalisco,2025,12,20.228861300875167,-103.21592178017386
Monterrey,Nuevo León,2025,11,25.192978001377426,-100.2383123145668
Torreón,Coahuila De Zaragoza,2025,12,23.118221825651553,-102.86064392592718
Santa María Huatulco,Oaxaca,2025,11,23.19444296075593,-102.1650697632007
Morelia,Michoacán,2025,11,19.749506773416357,-101.22239781929645
Torreón,Coahuila De Zaragoza,2025,9,23.17118864846023,-102.47430981769732
Tijuana,Baja California,2025,12,30.65957563029376,-115.6121207141517
Xalisco,Nayarit,2025,8,23.944875310969454,-102.72769267348063
Zapopan,Jalisco,2025,10,20.182771935735826,-103.83100932345253
Rosario,Sinaloa,2025,11,23.914468482588937,-102.0857011934395
Santa Cruz De Juventino Rosas,Guanajuato,2025,12,20.8008547747734,-101.63964891710987
Cuautitlán,México,2025,10,18.973464827621655,-99.57918352448574
Mexicali,Baja California,2025,11,31.03733716536415,-115.5097447793128
León De Los Aldama,Guanajuato,2025,10,21.147942846779884,-101.2032219974842
Guadalajara,Jalisco,2025,8,21.036972013527055,-103.19797961164814
El Salto,Jalisco,2025,9,20.894571043803886,-103.0196581962928
